ID,Pair_Code,Disease_Pair,Severity,Climate,Prompt,Folder
1,A,Mosaic + Red Rot,Early,Natural light,"""Randomly generate a square sugarcane leaf with Mosaic and Red Rot co-occurring in early stage under natural daylight in a real sugarcane farm field. Mosaic shows small chlorotic streaks along veins. Red Rot shows tiny brownish-red lesions on leaf edges. Lesions are natural  biologically accurate, and clearly visible. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",A",A
2,A,Mosaic + Red Rot,Early,Humid,"""Randomly generate a square sugarcane leaf with Mosaic and Red Rot co-occurring in early stage under humid natural daylight in a real sugarcane farm field. Faint chlorotic streaks with subtle dew  small red lesions starting. High humidity visible but not overpowering. Generate the image in the following format to match the ML58TSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",A",A
3,A,Mosaic + Red Rot,Early,Dry climate,"""Randomly generate a square sugarcane leaf with Mosaic and Red Rot co-occurring in early stage under dry natural daylight in a real sugarcane farm field. Faded chlorotic streaks  tiny cracked red lesions. Slight drought stress visible. Dry soil in background. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",A",A
4,A,Mosaic + Red Rot,Early,Rainy conditions,"""Randomly generate a square sugarcane leaf with Mosaic and Red Rot co-occurring in early stage under rainy natural daylight in a real sugarcane farm field. Water-soaked chlorotic streaks  small expanding red lesions. Subtle water droplets on leaf surface. Wet soil background. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",A",A
5,A,Mosaic + Red Rot,Mid,Natural light,"""Randomly generate a square sugarcane leaf with Mosaic and Red Rot co-occurring in mid stage under natural daylight in a real sugarcane farm field. Moderate chlorotic mottling along veins  spreading brownish-red lesions. Lesions merging slightly but still distinct. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",A",A
6,A,Mosaic + Red Rot,Mid,Humid,"""Randomly generate a square sugarcane leaf with Mosaic and Red Rot co-occurring in mid stage under humid natural daylight in a real sugarcane farm field. Mottled areas with subtle dew  red lesions growing. High moisture in air. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",A",A
7,A,Mosaic + Red Rot,Mid,Dry climate,"""Randomly generate a square sugarcane leaf with Mosaic and Red Rot co-occurring in mid stage under dry natural daylight in a real sugarcane farm field. Yellowing streaks  cracked red lesions. Leaf curling from drought. Dry cracked soil. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",A",A
8,A,Mosaic + Red Rot,Mid,Rainy conditions,"""Randomly generate a square sugarcane leaf with Mosaic and Red Rot co-occurring in mid stage under rainy natural daylight in a real sugarcane farm field. Water-blurred mottling  expanding red lesions. Droplets and wet sheen. Rainy field background. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",A",A
9,A,Mosaic + Red Rot,Severe,Natural light,"""Randomly generate a square sugarcane leaf with Mosaic and Red Rot co-occurring in severe stage under natural daylight in a real sugarcane farm field. Extensive mottling  large wilting red lesions. Leaf drying. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",A",A
10,A,Mosaic + Red Rot,Severe,Humid,"""Randomly generate a square sugarcane leaf with Mosaic and Red Rot co-occurring in severe stage under humid natural daylight in a real sugarcane farm field. Full mottling with dew  wilting red areas. Fungal growth hints. Humid background. Generate the image in the following format to match the MLTSDC training dataset: - Size: exactly 256x256 pixels - Shape: square (1:1 aspect ratio) - Color: RGB (3 channels), sRGB color space, 8-bit per channel - File format: JPEG (.jpg), quality 90% - Background: natural sugarcane farm field with soil, sky, and other leaves - Lighting: natural daylight only (no studio lights, flash, or artificial sources) - Contrast: moderate to high – disease lesions must be clearly visible - Sharpness: high – lesions have crisp edges, no heavy blur - Camera angle: close-up, slightly angled (30°–60° from leaf surface), not top-down - Occlusion: minimal to moderate (small overlapping leaves or dust, no heavy blocking) - No text, watermarks, borders, or artificial elements"",A",A
